tx_name,Task Name,tx_difficulty,total_correctness,total_compute,total_robustness,total_memtotal,made_submission,compile_success,score_percentage,Time spent,Remarks on Score,id_task_session,js_comments,id_infra_instan,nu_pgmr_comment_flux_all,nu_pgmr_cyclo_flux_all,nu_pgmr_filesize_flux_all,nu_pgmr_nom_flux_all,nu_pgmr_dac_flux_all,nu_pgmr_fanout_flux_all,nu_loc_flux_source_all,nu_loc_added_source_all,nu_ce_models_units_all,nu_aberrant_ce_units_all,nu_ce_hours_all,nu_aberrant_ce_all,loc_submit,cyclo_submit,nom_submit,dac_submit,fanout_submit,ce_units_submit,aberrant_ce_units_submit,id_test_session,tx_file_type,correctness_norm,compute_norm,robustness_norm,memtotal_norm,task_score,avg_bce
0,15,intermediate,0,0,0,0,True,True,70.7,0.95,FAILED,3837,"[{""question"":""If you had more time, describe what changes you would make (if any) to make your implementation more efficient."",""answer"":""nop""},{""question"":""Describe how you would extend your pattern language to allow the specification of a literal full stop character (.)."",""answer"":"".""},{""question"":""Describe why a builder interface is appropriate."",""answer"":"".""}]",837384,0,10,1622,8,2,2,55,44,70.67056659086927,3.3603286788694304,3.982103419602944,0.1893458191807489,42,8,6,2,2,6.541836768847178,0.02967029645001911,0,java,0,0,0,0,0,3.624516342412452
1,1,easy,2,0,0,0,True,True,68.8,0,FAILED,3398,"[{""question"":""how you ensured your solution produced accurate results"",""answer"":""test""},{""question"":""any potentially problematic inputs you considered when writing your implementation"",""answer"":""test""}]",805758,0,0,182,0,0,0,2,2,8.274675626355489,0,0.4662565435278765,0,10,2,2,0,0,8.274675626355489,0,3511,java,0,0,0,0,0,0.8999421906693712
2,12,easy,8,0,0,0,True,True,69.19999999999999,1,FAILED,3500,"[{""question"":""Why is the median more complex to calculate for even length lists?"",""answer"":""3rd point to calculate percintile was not very clear""},{""question"":""How did you ensure your solution produced accurate results?"",""answer"":""1st was to calculate minimum, so pick up th mini from list. same mean calcluated as avg as per example.""}]",813135,0,10,93,10,3,3,111,100,176.1191232417409,1.5142117246275109,9.923856518351744,0.08532190949522027,16,2,2,1,1,16.994948088507382,0.2518846479893286,4427,java,3.125,0,0,0,0.390625,1.6656433378196498
2,3,intermediate,5,0,0,0,True,True,66.90000000000002,0.8,FAILED,3499,"[{""question"":""Describe what you would do differently if you were to rewrite the decode method from scratch."",""answer"":""""},{""question"":""Describe why the fixes you made constituted \u0027fixing the code in place\u0027."",""answer"":""Tried to use bytes instead of long as we are using bytestreams for both i/o operations, but without debugging its difficult to find out the cause""},{""question"":""Describe the faults you found in words."",""answer"":""Issue is with streams only we are passing long numbers to byte stream even though we are converting but size of byte stream is smaller to hold the values thats why when size is increasing its failing and working for small input""}]",813134,4,40,172,24,11,19,170,162,220.07192242848225,11.373190130040452,12.400482932795374,0.6408498119283507,39,10,6,3,5,27.507695261238737,1.2079632053352551,4427,java,4,0,0,0,0.8,1.6656433378196498
2,15,intermediate,0,0,0,0,True,False,67.60000000000001,1,0,3498,"[{""question"":""If you had more time, describe what changes you would make (if any) to make your implementation more efficient."",""answer"":""If i had more time, i wolud iterate the string find out the positon of wildcart, and would have create a new object where i will be putting value of wildcart and in end would have create a newlist of string""},{""question"":""Describe how you would extend your pattern language to allow the specification of a literal full stop character (.)."",""answer"":""By spiliting the string,  by string tokens we can do that""},{""question"":""Describe why a builder interface is appropriate."",""answer"":""not sure on that""}]",813133,13,24,2118,10,0,0,841,777,874.9605428342627,16.702945044627356,49.301760799638565,0.9411676994852936,20,0,0,0,0,13.84130742932674,0,4427,java,0,0,0,0,0,1.6656433378196498
3,1,easy,0,0,0,0,True,True,63.2,1,FAILED,3411,"[{""question"":""how you ensured your solution produced accurate results"",""answer"":""Yes""},{""question"":""any potentially problematic inputs you considered when writing your implementation"",""answer"":""Not enough time to do work""}]",807267,0,6,186,4,0,2,250,227,381.6397880713684,0.4676492463049715,21.504413767242823,0.02635082400947341,13,3,2,0,1,13.872810242519288,0.12326945270378878,4183,java,0,0,0,0,0,1.8562937048503607
3,15,intermediate,0,0,0,0,True,False,76.7,0.95,0,3412,"[{""question"":""If you had more time, describe what changes you would make (if any) to make your implementation more efficient."",""answer"":""Yes ,  could not think of better option in limited time""},{""question"":""Describe how you would extend your pattern language to allow the specification of a literal full stop character (.)."",""answer"":""We can add a or condition along with : for pattern matching""},{""question"":""Describe why a builder interface is appropriate."",""answer"":""To create provide an option to create an""}]",807268,0,57,708,43,2,4,535,492,762.0101044331401,5.551943855109477,42.93729609106109,0.3128376589771313,28,7,5,0,0,14.692640558433439,0.2782080709392986,4183,java,0,0,0,0,0,1.8562937048503607
4,1,easy,2,0,0,0,True,True,63.9,0.8,ACCEPTABLE,3678,"[{""question"":""how you ensured your solution produced accurate results"",""answer"":""tested the input value""},{""question"":""any potentially problematic inputs you considered when writing your implementation"",""answer"":""will work for any value which can be auto-boxed to double""}]",834097,0,5,117,4,0,2,24,13,121.00119393986431,2.351792083943516,6.81810393502954,0.13251739375295446,10,3,2,0,0,8.088353297018273,0.14066474560277029,4545,java,37.5,0,0,0,18.75,1.3342956852791878
4,8,easy,1,1,0,1,True,True,69.89999999999999,1,FAILED,3679,"[{""question"":""If you had more time, describe the additional steps you would take to further optimise the code or explain why this is not possible."",""answer"":""""},{""question"":""Outline why your solution runs faster than the original version."",""answer"":""""},{""question"":""Describe in words the steps you took to optimise the code."",""answer"":""added short-circuit \u0026\u0026 operator""}]",834098,0,68,125,30,5,10,32,16,239.1165359920118,2.4806169663010937,13.473597589359427,0.13977634227017685,51,12,6,1,2,22.04524599534349,0.39994528568671095,4545,java,100,0,0,0,33.333333333333336,1.3342956852791878
4,15,intermediate,0,0,0,0,True,False,69.8,1,0,3677,"[{""question"":""If you had more time, describe what changes you would make (if any) to make your implementation more efficient."",""answer"":""faced technical issue while taking this question and got submitted""},{""question"":""Describe how you would extend your pattern language to allow the specification of a literal full stop character (.)."",""answer"":""""},{""question"":""Describe why a builder interface is appropriate."",""answer"":""""}]",834096,0,29,999,29,4,6,139,74,783.2449202906598,5.267923596406402,44.13382297516556,0.2968338528952348,18,4,4,1,1,19.042600787919735,0.3684905040973296,4545,java,0,0,0,0,0,1.3342956852791878
